dataset,test,test,test,test,test,test,test,train,train,train,train,train,train,train
65,0.8312361213915618,0.8689859363434493,0.8734270910436713,0.8874907475943745,0.8919319022945966,0.9015544041450777,0.9193190229459659,0.8319763138415989,0.8961263261781397,0.9659511472982976,1.0,1.0,1.0,1.0
67,0.8312361213915618,0.8667653589933383,0.8793486306439674,0.8845299777942265,0.8956328645447816,0.9082161361954109,0.9045151739452257,0.8329632371083149,0.8956328645447816,0.9701455711818406,1.0,1.0,1.0,1.0
69,0.8312361213915618,0.8682457438934122,0.8830495928941525,0.8845299777942265,0.8934122871946706,0.9126572908956329,0.9148778682457439,0.8332099679249938,0.8981001727115717,0.9726128793486306,1.0,1.0,1.0,1.0
71,0.8312361213915618,0.8667653589933383,0.8786084381939304,0.8845299777942265,0.8941524796447077,0.8948926720947447,0.9148778682457439,0.8354305452751049,0.9015544041450777,0.9740932642487047,1.0,1.0,1.0,1.0
73,0.8297557364914878,0.8697261287934863,0.8808290155440415,0.8830495928941525,0.8911917098445595,0.8941524796447077,0.9119170984455959,0.8366641993584999,0.9013076733283987,0.9763138415988157,1.0,1.0,1.0,1.0
75,0.8304959289415248,0.8704663212435233,0.8808290155440415,0.8778682457438934,0.8867505551443375,0.9104367135455218,0.9126572908956329,0.8369109301751789,0.9059955588452998,0.9768073032321737,1.0,1.0,1.0,1.0
77,0.8304959289415248,0.8712065136935603,0.8845299777942265,0.8860103626943006,0.8963730569948186,0.9067357512953368,0.9156180606957809,0.8371576609918578,0.9057488280286208,0.9787811497656057,1.0,1.0,1.0,1.0
79,0.8319763138415989,0.8697261287934863,0.8830495928941525,0.8808290155440415,0.8845299777942265,0.8978534418948927,0.9259807549962991,0.8359240069084629,0.9079694053787318,0.9814951887490747,1.0,1.0,1.0,1.0
81,0.8319763138415989,0.8667653589933383,0.8889711324944486,0.8837897853441895,0.8948926720947447,0.9037749814951888,0.9185788304959289,0.8354305452751049,0.9069824821120158,0.9837157660991858,1.0,1.0,1.0,1.0
83,0.8319763138415989,0.8645447816432272,0.8919319022945966,0.8800888230940045,0.8867505551443375,0.8978534418948927,0.9178386380458919,0.8359240069084629,0.9084628670120898,0.9847026893659018,1.0,1.0,1.0,1.0
85,0.8327165062916358,0.8682457438934122,0.8837897853441895,0.8823094004441154,0.8993338267949667,0.9111769059955589,0.9082161361954109,0.8346903528250679,0.9111769059955589,0.9859363434492968,1.0,1.0,1.0,1.0
87,0.8341968911917098,0.8682457438934122,0.8830495928941525,0.8815692079940785,0.8926720947446336,0.9089563286454478,0.920059215396003,0.8376511226252159,0.9116703676289168,0.9861830742659758,1.0,1.0,1.0,1.0
89,0.8364174685418209,0.8682457438934122,0.8860103626943006,0.8867505551443375,0.8956328645447816,0.9082161361954109,0.9111769059955589,0.8354305452751049,0.9124105600789538,0.9884036516160869,1.0,1.0,1.0,1.0
91,0.8349370836417469,0.8667653589933383,0.8845299777942265,0.8837897853441895,0.8911917098445595,0.9082161361954109,0.920059215396003,0.8351838144584258,0.9151245990624229,0.9896373056994818,1.0,1.0,1.0,1.0
93,0.8371576609918578,0.8667653589933383,0.8800888230940045,0.8860103626943006,0.8948926720947447,0.9008142116950407,0.9163582531458179,0.8354305452751049,0.9166049839624969,0.9901307673328399,1.0,1.0,1.0,1.0
95,0.8356772760917839,0.8675055514433753,0.8823094004441154,0.8867505551443375,0.9000740192450037,0.9030347890451518,0.920059215396003,0.8356772760917839,0.9166049839624969,0.9911176905995559,1.0,1.0,1.0,1.0
97,0.8356772760917839,0.8682457438934122,0.8845299777942265,0.8867505551443375,0.8889711324944486,0.9037749814951888,0.9074759437453738,0.8361707377251418,0.9173451764125339,0.9918578830495929,1.0,1.0,1.0,1.0
99,0.8341968911917098,0.8689859363434493,0.8815692079940785,0.8845299777942265,0.8911917098445595,0.9222797927461139,0.9178386380458919,0.8386380458919319,0.919812484579324,0.9925980754996299,1.0,1.0,1.0,1.0
101,0.8349370836417469,0.8667653589933383,0.8800888230940045,0.8852701702442635,0.8882309400444115,0.9096965210954848,0.9163582531458179,0.8386380458919319,0.9193190229459659,0.9945719220330619,1.0,1.0,1.0,1.0
103,0.8371576609918578,0.8645447816432272,0.8808290155440415,0.8874907475943745,0.8934122871946706,0.9126572908956329,0.917098445595855,0.8393782383419689,0.922526523562793,0.9955588452997779,1.0,1.0,1.0,1.0
105,0.8386380458919319,0.8645447816432272,0.8800888230940045,0.8815692079940785,0.9000740192450037,0.9111769059955589,0.9074759437453738,0.8413520848754009,0.9252405625462621,0.9965457685664939,1.0,1.0,1.0,1.0
107,0.8378978534418949,0.8660251665433013,0.8800888230940045,0.8815692079940785,0.8978534418948927,0.9133974833456698,0.9148778682457439,0.842585738958796,0.924500370096225,0.9965457685664939,1.0,1.0,1.0,1.0
109,0.8401184307920059,0.8652849740932642,0.8808290155440415,0.8852701702442635,0.8904515173945226,0.9111769059955589,0.917098445595855,0.842585738958796,0.9269676782630151,0.998026153466568,1.0,1.0,1.0,1.0
111,0.8371576609918578,0.8675055514433753,0.8808290155440415,0.8889711324944486,0.9082161361954109,0.9096965210954848,0.9222797927461139,0.8401184307920059,0.9289415247964471,0.998272884283247,1.0,1.0,1.0,1.0
113,0.84159881569208,0.8704663212435233,0.8800888230940045,0.8911917098445595,0.8978534418948927,0.8978534418948927,0.9193190229459659,0.8413520848754009,0.930421909696521,0.998272884283247,1.0,1.0,1.0,1.0
115,0.840858623242043,0.8667653589933383,0.8793486306439674,0.8889711324944486,0.8904515173945226,0.9082161361954109,0.917098445595855,0.843819393042191,0.9299284480631631,0.9985196150999259,1.0,1.0,1.0,1.0
117,0.840858623242043,0.8667653589933383,0.8823094004441154,0.8889711324944486,0.8956328645447816,0.9052553663952627,0.9133974833456698,0.8411053540587219,0.9301751788798421,0.998272884283247,1.0,1.0,1.0,1.0
119,0.8386380458919319,0.8697261287934863,0.8823094004441154,0.8845299777942265,0.8911917098445595,0.9082161361954109,0.9193190229459659,0.8423390081421169,0.9316555637799161,0.998272884283247,1.0,1.0,1.0,1.0
121,0.8364174685418209,0.8689859363434493,0.8808290155440415,0.8867505551443375,0.8867505551443375,0.9141376757957069,0.9126572908956329,0.842585738958796,0.9328892178633111,0.998272884283247,1.0,1.0,1.0,1.0
123,0.8349370836417469,0.8682457438934122,0.8808290155440415,0.8874907475943745,0.9022945965951147,0.9104367135455218,0.923760177646188,0.8433259314088329,0.9331359486799902,0.9985196150999259,1.0,1.0,1.0,1.0
125,0.8349370836417469,0.8682457438934122,0.8800888230940045,0.8823094004441154,0.9096965210954848,0.9022945965951147,0.92079940784604,0.843819393042191,0.9331359486799902,0.999013076733284,1.0,1.0,1.0,1.0
127,0.8349370836417469,0.8667653589933383,0.8793486306439674,0.8837897853441895,0.9067357512953368,0.9096965210954848,0.9222797927461139,0.843572662225512,0.9358499876634592,0.999259807549963,1.0,1.0,1.0,1.0
129,0.8341968911917098,0.8660251665433013,0.8778682457438934,0.8830495928941525,0.9059955588452998,0.9156180606957809,0.9252405625462621,0.8450530471255859,0.9380705650135702,0.999259807549963,1.0,1.0,1.0,1.0
131,0.8349370836417469,0.8652849740932642,0.8771280532938565,0.8823094004441154,0.8956328645447816,0.9104367135455218,0.92079940784604,0.844559585492228,0.9380705650135702,0.9995065383666419,1.0,1.0,1.0,1.0
133,0.8349370836417469,0.8630643967431533,0.8771280532938565,0.8786084381939304,0.8948926720947447,0.9096965210954848,0.923760177646188,0.844559585492228,0.9385640266469282,0.999259807549963,1.0,1.0,1.0,1.0
135,0.8349370836417469,0.8638045891931903,0.8786084381939304,0.8800888230940045,0.8874907475943745,0.9126572908956329,0.9178386380458919,0.845793239575623,0.9395509499136442,0.9995065383666419,1.0,1.0,1.0,1.0
137,0.8341968911917098,0.8682457438934122,0.8756476683937824,0.8800888230940045,0.8867505551443375,0.9082161361954109,0.9119170984455959,0.846286701208981,0.9407846039970392,0.999753269183321,1.0,1.0,1.0,1.0
139,0.8341968911917098,0.8704663212435233,0.8756476683937824,0.8815692079940785,0.8993338267949667,0.9163582531458179,0.92079940784604,0.8470268936590181,0.9412780656303973,0.9995065383666419,1.0,1.0,1.0,1.0
141,0.8341968911917098,0.8712065136935603,0.8756476683937824,0.8852701702442635,0.9008142116950407,0.9193190229459659,0.9156180606957809,0.84653343202566,0.9432519121638293,0.9995065383666419,1.0,1.0,1.0,1.0
143,0.8341968911917098,0.8697261287934863,0.8726868985936344,0.8800888230940045,0.8963730569948186,0.9104367135455218,0.9193190229459659,0.84653343202566,0.9452257586972613,1.0,1.0,1.0,1.0,1.0
145,0.8341968911917098,0.8675055514433753,0.8734270910436713,0.8800888230940045,0.9045151739452257,0.9096965210954848,0.9163582531458179,0.84653343202566,0.9469528744140143,1.0,1.0,1.0,1.0,1.0
147,0.8334566987416728,0.8675055514433753,0.8704663212435233,0.8852701702442635,0.9037749814951888,0.9163582531458179,0.926720947446336,0.847520355292376,0.9474463360473723,1.0,1.0,1.0,1.0,1.0
149,0.8341968911917098,0.8675055514433753,0.8704663212435233,0.8823094004441154,0.8919319022945966,0.9104367135455218,0.917098445595855,0.848260547742413,0.9471996052306934,1.0,1.0,1.0,1.0,1.0
151,0.8364174685418209,0.8704663212435233,0.8704663212435233,0.8845299777942265,0.8926720947446336,0.9133974833456698,0.9148778682457439,0.8490007401924501,0.9491734517641254,0.999753269183321,1.0,1.0,1.0,1.0
153,0.8364174685418209,0.8719467061435974,0.8689859363434493,0.8874907475943745,0.9074759437453738,0.920059215396003,0.917098445595855,0.8490007401924501,0.9516407599309153,1.0,1.0,1.0,1.0,1.0
155,0.8364174685418209,0.8726868985936344,0.8704663212435233,0.8867505551443375,0.8956328645447816,0.9074759437453738,0.921539600296077,0.848507278559092,0.9521342215642734,1.0,1.0,1.0,1.0,1.0
157,0.8356772760917839,0.8734270910436713,0.8719467061435974,0.8874907475943745,0.8919319022945966,0.9000740192450037,0.917098445595855,0.8499876634591661,0.9526276831976314,1.0,1.0,1.0,1.0,1.0
159,0.8356772760917839,0.8697261287934863,0.8741672834937083,0.8867505551443375,0.9089563286454478,0.8978534418948927,0.9148778682457439,0.850234394275845,0.9533678756476683,1.0,1.0,1.0,1.0,1.0
161,0.8341968911917098,0.8682457438934122,0.8771280532938565,0.8800888230940045,0.8941524796447077,0.9089563286454478,0.9222797927461139,0.850234394275845,0.9543547989143845,1.0,1.0,1.0,1.0,1.0
163,0.8327165062916358,0.8667653589933383,0.8808290155440415,0.8845299777942265,0.9148778682457439,0.9096965210954848,0.9193190229459659,0.8490007401924501,0.9541080680977054,1.0,1.0,1.0,1.0,1.0
165,0.8341968911917098,0.8697261287934863,0.8808290155440415,0.8845299777942265,0.8956328645447816,0.9082161361954109,0.9259807549962991,0.850481125092524,0.9543547989143845,1.0,1.0,1.0,1.0,1.0
167,0.8341968911917098,0.8712065136935603,0.8793486306439674,0.8845299777942265,0.9126572908956329,0.9133974833456698,0.920059215396003,0.848507278559092,0.9546015297310634,1.0,1.0,1.0,1.0,1.0
169,0.8341968911917098,0.8704663212435233,0.8815692079940785,0.8815692079940785,0.9000740192450037,0.9082161361954109,0.9193190229459659,0.849247471009129,0.9558351838144584,1.0,1.0,1.0,1.0,1.0
171,0.8327165062916358,0.8682457438934122,0.8786084381939304,0.8904515173945226,0.9052553663952627,0.9133974833456698,0.92079940784604,0.848260547742413,0.9578090303478904,1.0,1.0,1.0,1.0,1.0
173,0.8327165062916358,0.8689859363434493,0.8800888230940045,0.8852701702442635,0.8971132494448557,0.9111769059955589,0.921539600296077,0.848507278559092,0.9580557611645695,1.0,1.0,1.0,1.0,1.0
175,0.8356772760917839,0.8712065136935603,0.8815692079940785,0.8852701702442635,0.9037749814951888,0.9133974833456698,0.9133974833456698,0.849494201825808,0.9585492227979274,1.0,1.0,1.0,1.0,1.0
177,0.8327165062916358,0.8726868985936344,0.8793486306439674,0.8897113249444856,0.9037749814951888,0.9148778682457439,0.9259807549962991,0.849247471009129,0.9587959536146065,1.0,1.0,1.0,1.0,1.0
179,0.8327165062916358,0.8778682457438934,0.8778682457438934,0.8845299777942265,0.8993338267949667,0.9119170984455959,0.921539600296077,0.8497409326424871,0.9612632617813965,1.0,1.0,1.0,1.0,1.0
181,0.8364174685418209,0.8741672834937083,0.8786084381939304,0.8800888230940045,0.9015544041450777,0.9119170984455959,0.917098445595855,0.8519615099925981,0.9624969158647915,1.0,1.0,1.0,1.0,1.0
183,0.8349370836417469,0.8749074759437454,0.8786084381939304,0.8897113249444856,0.8963730569948186,0.917098445595855,0.917098445595855,0.8514680483592401,0.9632371083148286,1.0,1.0,1.0,1.0,1.0
185,0.8349370836417469,0.8763878608438194,0.8793486306439674,0.8889711324944486,0.9111769059955589,0.9104367135455218,0.920059215396003,0.8519615099925981,0.9642240315815446,1.0,1.0,1.0,1.0,1.0
187,0.8327165062916358,0.8763878608438194,0.8778682457438934,0.8904515173945226,0.9067357512953368,0.9119170984455959,0.92079940784604,0.8527017024426351,0.9652109548482606,1.0,1.0,1.0,1.0,1.0
189,0.8327165062916358,0.8771280532938565,0.8778682457438934,0.8874907475943745,0.9096965210954848,0.9111769059955589,0.9259807549962991,0.853195164075993,0.9647174932149025,1.0,1.0,1.0,1.0,1.0
191,0.8334566987416728,0.8771280532938565,0.8763878608438194,0.8874907475943745,0.9119170984455959,0.917098445595855,0.923760177646188,0.852208240809277,0.9657044164816185,1.0,1.0,1.0,1.0,1.0
193,0.8334566987416728,0.8778682457438934,0.8800888230940045,0.8934122871946706,0.9022945965951147,0.9141376757957069,0.9193190229459659,0.852208240809277,0.9664446089316555,1.0,1.0,1.0,1.0,1.0
195,0.8327165062916358,0.8771280532938565,0.8793486306439674,0.8808290155440415,0.8985936343449297,0.9141376757957069,0.9185788304959289,0.8527017024426351,0.9679249938317296,1.0,1.0,1.0,1.0,1.0
197,0.8327165062916358,0.8749074759437454,0.8763878608438194,0.8867505551443375,0.8963730569948186,0.9111769059955589,0.923760177646188,0.8514680483592401,0.9676782630150506,1.0,1.0,1.0,1.0,1.0
199,0.8349370836417469,0.8793486306439674,0.8749074759437454,0.8911917098445595,0.9111769059955589,0.9126572908956329,0.92079940784604,0.8529484332593141,0.9686651862817666,1.0,1.0,1.0,1.0,1.0
201,0.8341968911917098,0.8786084381939304,0.8756476683937824,0.8874907475943745,0.9045151739452257,0.9193190229459659,0.9252405625462621,0.8534418948926721,0.9706390328151986,1.0,1.0,1.0,1.0,1.0
203,0.8319763138415989,0.8778682457438934,0.8763878608438194,0.8897113249444856,0.9074759437453738,0.917098445595855,0.9311621021465581,0.8539353565260301,0.9684184554650875,1.0,1.0,1.0,1.0,1.0
205,0.8319763138415989,0.8793486306439674,0.8786084381939304,0.8911917098445595,0.9059955588452998,0.9119170984455959,0.9222797927461139,0.8541820873427091,0.9708857636318776,1.0,1.0,1.0,1.0,1.0
207,0.8319763138415989,0.8734270910436713,0.8793486306439674,0.8941524796447077,0.9074759437453738,0.9163582531458179,0.9193190229459659,0.8544288181593881,0.9711324944485566,1.0,1.0,1.0,1.0,1.0
209,0.8334566987416728,0.8749074759437454,0.8763878608438194,0.8874907475943745,0.9000740192450037,0.9096965210954848,0.9193190229459659,0.853195164075993,0.9728596101653096,1.0,1.0,1.0,1.0,1.0
211,0.8327165062916358,0.8719467061435974,0.8749074759437454,0.8852701702442635,0.9059955588452998,0.9133974833456698,0.9222797927461139,0.8524549716259561,0.9743399950653837,1.0,1.0,1.0,1.0,1.0
213,0.8327165062916358,0.8741672834937083,0.8778682457438934,0.8897113249444856,0.9126572908956329,0.9133974833456698,0.923760177646188,0.8529484332593141,0.9755736491487786,1.0,1.0,1.0,1.0,1.0
215,0.8327165062916358,0.8734270910436713,0.8756476683937824,0.8897113249444856,0.9059955588452998,0.923019985196151,0.923760177646188,0.853195164075993,0.9755736491487786,1.0,1.0,1.0,1.0,1.0
217,0.8312361213915618,0.8719467061435974,0.8763878608438194,0.8978534418948927,0.9052553663952627,0.9185788304959289,0.921539600296077,0.8536886257093511,0.9760671107821367,1.0,1.0,1.0,1.0,1.0
219,0.8304959289415248,0.8719467061435974,0.8719467061435974,0.8852701702442635,0.9052553663952627,0.9141376757957069,0.9178386380458919,0.8534418948926721,0.9770540340488527,1.0,1.0,1.0,1.0,1.0
221,0.8304959289415248,0.8719467061435974,0.8734270910436713,0.8948926720947447,0.9096965210954848,0.9148778682457439,0.921539600296077,0.8551690106094251,0.9780409573155687,1.0,1.0,1.0,1.0,1.0
223,0.8297557364914878,0.8734270910436713,0.8712065136935603,0.8852701702442635,0.9089563286454478,0.92079940784604,0.9185788304959289,0.8519615099925981,0.9780409573155687,1.0,1.0,1.0,1.0,1.0
225,0.8282753515914137,0.8734270910436713,0.8719467061435974,0.8963730569948186,0.9037749814951888,0.9148778682457439,0.9156180606957809,0.8534418948926721,0.9792746113989638,1.0,1.0,1.0,1.0,1.0
227,0.8282753515914137,0.8741672834937083,0.8719467061435974,0.8971132494448557,0.9111769059955589,0.9111769059955589,0.923019985196151,0.8541820873427091,0.9785344189489267,1.0,1.0,1.0,1.0,1.0
229,0.8275351591413768,0.8749074759437454,0.8712065136935603,0.8963730569948186,0.9000740192450037,0.9185788304959289,0.9193190229459659,0.8534418948926721,0.9802615346656798,1.0,1.0,1.0,1.0,1.0
231,0.8282753515914137,0.8741672834937083,0.8704663212435233,0.8830495928941525,0.9067357512953368,0.9193190229459659,0.921539600296077,0.8534418948926721,0.9805082654823587,1.0,1.0,1.0,1.0,1.0
233,0.8312361213915618,0.8749074759437454,0.8734270910436713,0.8985936343449297,0.9015544041450777,0.9156180606957809,0.9222797927461139,0.8527017024426351,0.9814951887490747,1.0,1.0,1.0,1.0,1.0
235,0.8334566987416728,0.8763878608438194,0.8734270910436713,0.8874907475943745,0.9141376757957069,0.9133974833456698,0.9356032568467801,0.8519615099925981,0.9827288428324698,1.0,1.0,1.0,1.0,1.0
237,0.8312361213915618,0.8778682457438934,0.8704663212435233,0.8963730569948186,0.9148778682457439,0.9119170984455959,0.9178386380458919,0.8524549716259561,0.9824821120157907,1.0,1.0,1.0,1.0,1.0
239,0.8319763138415989,0.8786084381939304,0.8697261287934863,0.8845299777942265,0.9104367135455218,0.9119170984455959,0.9185788304959289,0.8527017024426351,0.9834690352825067,1.0,1.0,1.0,1.0,1.0
241,0.8319763138415989,0.8778682457438934,0.8719467061435974,0.8874907475943745,0.9052553663952627,0.9126572908956329,0.920059215396003,0.853195164075993,0.9837157660991858,1.0,1.0,1.0,1.0,1.0
243,0.8334566987416728,0.8763878608438194,0.8741672834937083,0.8971132494448557,0.8993338267949667,0.9178386380458919,0.923760177646188,0.8534418948926721,0.9842092277325438,1.0,1.0,1.0,1.0,1.0
245,0.8319763138415989,0.8763878608438194,0.8682457438934122,0.9008142116950407,0.9104367135455218,0.920059215396003,0.9185788304959289,0.8539353565260301,0.9847026893659018,1.0,1.0,1.0,1.0,1.0
247,0.8319763138415989,0.8771280532938565,0.8675055514433753,0.8919319022945966,0.9104367135455218,0.9185788304959289,0.9185788304959289,0.853195164075993,0.9849494201825808,1.0,1.0,1.0,1.0,1.0
249,0.8319763138415989,0.8763878608438194,0.8689859363434493,0.8926720947446336,0.9037749814951888,0.920059215396003,0.9222797927461139,0.853195164075993,0.9859363434492968,1.0,1.0,1.0,1.0,1.0
